two_theta_deg,intensity_raw,intensity_smoothed
5.012373,721.7520,680.3425
5.029119,731.2992,673.4809
5.045865,724.6063,666.6708
5.062612,720.3740,659.9120
5.079358,713.5827,653.2047
5.096104,692.8150,646.5487
5.112850,670.2756,637.9116
5.129596,687.1063,630.8410
5.146342,685.9252,624.3200
5.163088,674.2126,617.6555
5.179835,666.7323,613.7940
5.196581,656.8898,610.6267
5.213327,650.8858,602.7185
5.230073,643.7008,595.7989
5.246819,652.2638,590.0866
5.263565,644.7835,584.0285
5.280312,624.4094,579.8322
5.297058,620.4724,575.4286
5.313804,621.1614,570.0443
5.330550,618.7992,565.6521
5.347296,621.5551,561.0947
5.364042,609.6457,558.3338
5.380789,602.6575,552.8713
5.397535,603.9370,546.8752
5.414281,584.5472,543.4388
5.431027,594.5866,539.1381
5.447773,585.1378,535.6834
5.464519,587.4016,529.2119
5.481265,587.9921,526.1056
5.498012,567.3228,524.1142
5.514758,564.1732,520.1818
5.531504,560.3346,515.6914
5.548250,580.8071,509.2329
5.564996,558.7598,504.1972
5.581742,552.2638,499.9736
5.598489,536.3189,494.8796
5.615235,537.6969,489.3767
5.631981,539.8622,482.5335
5.648727,532.6772,479.8985
5.665473,536.2205,479.0953
5.682219,526.7717,478.6298
5.698966,521.3583,474.3252
5.715712,524.1142,469.9273
5.732458,530.6102,468.6632
5.749204,513.0906,464.7138
5.765950,504.9213,460.7667
5.782696,513.3858,459.4557
5.799442,515.9449,454.8914
5.816189,494.0945,450.1466
5.832935,500.5906,449.6132
5.849681,510.0394,446.1841
5.866427,482.3819,441.4831
5.883173,490.7480,438.7593
5.899919,496.1614,437.7776
5.916666,478.9370,431.8356
5.933412,483.6614,429.0446
5.950158,481.2992,425.7883
5.966904,472.7362,420.7900
5.983650,463.1890,416.9291
6.000396,475.7874,417.9021
6.017142,454.3307,414.0764
6.033889,473.4252,414.2572
6.050635,467.7165,413.5265
6.067381,471.8504,412.5695
6.084127,448.8189,409.7140
6.100873,469.5866,407.4558
6.117619,448.9173,403.2740
6.134366,454.2323,399.0369
6.151112,447.7362,393.9974
6.167858,442.6181,393.9472
6.184604,447.0472,388.8546
6.201350,429.4291,388.6520
6.218096,439.2717,386.2150
6.234843,449.0157,384.9260
6.251589,425.9843,382.3385
6.268335,437.6969,380.1392
6.285081,427.5591,378.0741
6.301827,425.4921,373.4497
6.318573,420.5709,370.9653
6.335319,424.9016,369.5061
6.352066,415.6496,366.0952
6.368812,419.0945,365.4126
6.385558,418.7008,364.4534
6.402304,407.1850,360.7942
6.419050,415.0591,358.6119
6.435796,411.9094,356.7627
6.452543,404.7244,353.2044
6.469289,394.1929,350.1450
6.486035,410.6299,350.1248
6.502781,396.1614,347.6958
6.519527,395.8661,346.7428
6.536273,399.8031,346.1282
6.553020,405.8071,345.7650
6.569766,389.9606,343.6338
6.586512,394.0945,344.1473
6.603258,393.3071,341.4673
6.620004,395.0787,338.8371
6.636750,390.2559,336.2519
6.653496,386.7126,334.8588
6.670243,379.3307,332.4890
6.686989,385.9252,331.1533
6.703735,380.5118,332.0277
6.720481,381.3976,331.5374
6.737227,386.3189,329.3250
6.753973,383.9567,326.4943
6.770720,381.9882,322.6777
6.787466,360.2362,320.5151
6.804212,362.3031,315.3812
6.820958,366.9291,312.3802
6.837704,367.8150,310.0396
6.854450,364.5669,309.8930
6.871196,353.0512,310.3179
6.887943,367.9134,309.2779
6.904689,355.8071,306.2168
6.921435,361.4173,305.3267
6.938181,353.3465,304.2633
6.954927,358.1693,304.4044
6.971673,348.2283,301.9407
6.988420,360.0394,302.0403
7.005166,350.1969,300.7514
7.021912,355.5118,299.0387
7.038658,346.8504,296.9791
7.055404,349.4094,296.2346
7.072150,344.3898,293.2919
7.088897,339.8622,292.3249
7.105643,347.6378,290.7336
7.122389,344.1929,289.6094
7.139135,338.4843,289.3506
7.155881,341.4370,289.6557
7.172627,340.8465,289.9739
7.189373,338.9764,289.3455
7.206120,347.6378,289.4963
7.222866,339.7638,288.4455
7.239612,340.5512,286.0009
7.256358,336.3189,284.8109
7.273104,332.8740,282.8118
7.289850,329.7244,281.1398
7.306597,333.8583,282.2502
7.323343,338.4843,281.9008
7.340089,331.7913,282.4080
7.356835,337.6969,283.4464
7.373581,335.8268,281.0918
7.390327,326.4764,277.4668
7.407074,330.7087,274.5847
7.423820,326.1811,272.0193
7.440566,311.1220,268.5989
7.457312,322.3425,267.8994
7.474058,323.8189,269.5024
7.490804,318.7992,269.6841
7.507550,322.9331,270.6959
7.524297,330.1181,272.7725
7.541043,327.7559,272.9599
7.557789,318.8976,273.4915
7.574535,323.8189,273.9297
7.591281,330.2165,272.4942
7.608027,328.0512,273.3610
7.624774,323.7205,275.8436
7.641520,326.0827,278.4084
7.658266,328.7402,276.9857
7.675012,341.1417,277.5538
7.691758,331.9882,278.9698
7.708504,328.5433,282.9389
7.725250,325.3937,283.5194
7.741997,346.5551,286.5667
7.758743,342.4213,288.6834
7.775489,351.6732,292.7220
7.792235,336.9094,297.2725
7.808981,359.1535,298.5518
7.825727,346.0630,297.9624
7.842474,352.2638,300.9014
7.859220,356.1024,299.0646
7.875966,342.9134,296.2855
7.892712,352.0669,291.7318
7.909458,347.4409,289.1973
7.926204,321.9488,286.3088
7.942951,331.6929,283.0991
7.959697,341.1417,281.3662
7.976443,331.2992,278.1677
7.993189,333.7598,275.8771
8.009935,319.9803,273.5317
8.026681,320.7677,266.5871
8.043427,313.5827,259.8200
8.060174,305.1181,255.8245
8.076920,302.2638,251.6540
